START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/28/17,07:40 PM,09:40 PM,Rockies at D-backs,Chase Field - Phoenix,"",04/28/17,04/29/17,10:40 PM,12:40 AM,FALSE,TRUE,04/28/17,06:40 PM,08:40 PM,FREE,BUSY
04/29/17,06:10 PM,08:10 PM,Rockies at D-backs,Chase Field - Phoenix,"",04/29/17,04/29/17,09:10 PM,11:10 PM,FALSE,TRUE,04/29/17,05:10 PM,07:10 PM,FREE,BUSY
04/30/17,02:10 PM,04:10 PM,Rockies at D-backs,Chase Field - Phoenix,"",04/30/17,04/30/17,05:10 PM,07:10 PM,FALSE,TRUE,04/30/17,01:10 PM,03:10 PM,FREE,BUSY
05/02/17,08:10 PM,10:10 PM,Rockies at Padres,Petco Park - San Diego,"",05/02/17,05/03/17,11:10 PM,01:10 AM,FALSE,TRUE,05/02/17,07:10 PM,09:10 PM,FREE,BUSY
05/03/17,08:10 PM,10:10 PM,Rockies at Padres,Petco Park - San Diego,"",05/03/17,05/04/17,11:10 PM,01:10 AM,FALSE,TRUE,05/03/17,07:10 PM,09:10 PM,FREE,BUSY
05/04/17,01:40 PM,03:40 PM,Rockies at Padres,Petco Park - San Diego,"",05/04/17,05/04/17,04:40 PM,06:40 PM,FALSE,TRUE,05/04/17,12:40 PM,02:40 PM,FREE,BUSY
05/05/17,06:40 PM,08:40 PM,D-backs at Rockies,Coors Field - Denver,"",05/05/17,05/05/17,09:40 PM,11:40 PM,FALSE,TRUE,05/05/17,05:40 PM,07:40 PM,FREE,BUSY
05/06/17,06:10 PM,08:10 PM,D-backs at Rockies,Coors Field - Denver,"",05/06/17,05/06/17,09:10 PM,11:10 PM,FALSE,TRUE,05/06/17,05:10 PM,07:10 PM,FREE,BUSY
05/07/17,01:10 PM,03:10 PM,D-backs at Rockies,Coors Field - Denver,"",05/07/17,05/07/17,04:10 PM,06:10 PM,FALSE,TRUE,05/07/17,12:10 PM,02:10 PM,FREE,BUSY
05/08/17,06:40 PM,08:40 PM,Cubs at Rockies,Coors Field - Denver,"",05/08/17,05/08/17,09:40 PM,11:40 PM,FALSE,TRUE,05/08/17,05:40 PM,07:40 PM,FREE,BUSY
05/09/17,06:40 PM,08:40 PM,Cubs at Rockies,Coors Field - Denver,"",05/09/17,05/09/17,09:40 PM,11:40 PM,FALSE,TRUE,05/09/17,05:40 PM,07:40 PM,FREE,BUSY
